document_id,document_name,version,pointer,num_responses,%failed,%giveup,%trigger_goto,%failed1,failed1_response,%failed2,failed2_response,%failed3,failed3_response,course
10299,What is a Percent?,22,body11MultiAnswerProblem,6010,4.3261231281198,0.0,0.0,3.4941763727121464,[1],0.831946755407654,[2],0.0,,Prealgebra 2
10299,What is a Percent?,22,body13MultiAnswerProblem,6560,8.384146341463415,0.0,0.0,8.231707317073171,[0],0.1524390243902439,[2],0.0,,Prealgebra 2
10299,What is a Percent?,22,body15MultiAnswerProblem,9540,21.48846960167715,0.0,0.1048218029350104,18.553459119496857,[3],1.4675052410901468,[2],1.4675052410901468,[0],Prealgebra 2
10299,What is a Percent?,22,body17HundredsChart,5730,0.6980802792321117,1.5706806282722514,0.5235602094240838,0.1745200698080279,[2],0.1745200698080279,"[0,1,2,3]",0.1745200698080279,"[0,1]",Prealgebra 2
10299,What is a Percent?,22,body19HundredsChart,11180,33.631484794275494,11.627906976744184,0.1788908765652951,6.171735241502684,"[0,1,12,17,23,24]",6.171735241502684,"[0,1,23,24]",3.8461538461538463,"[0,1]",Prealgebra 2
10299,What is a Percent?,22,body1MultiAnswerProblem,8310,24.548736462093864,1.8050541516245489,0.0,11.913357400722022,[1],7.460890493381468,[0],2.406738868832732,[2],Prealgebra 2
10299,What is a Percent?,22,body21ShortAnswerProblem,7090,15.796897038081806,2.1156558533145273,0.1410437235543018,6.488011283497884,"""100""",5.359661495063469,"""100/100""",1.4104372355430184,"""25""",Prealgebra 2
10299,What is a Percent?,22,body23ShortAnswerProblem,8620,23.665893271461716,2.9002320185614847,0.0,7.308584686774941,"""75""",2.2041763341067284,"""750/100""",1.8561484918793505,"""3/4""",Prealgebra 2
10299,What is a Percent?,22,body25ShortAnswerProblem,6520,10.122699386503069,1.2269938650306749,0.0,3.834355828220859,"""200""",1.687116564417178,"""2""",1.0736196319018405,"""2000/100""",Prealgebra 2
10299,What is a Percent?,22,body28HundredsChart,12840,39.09657320872274,12.928348909657322,0.8566978193146417,3.426791277258567,[22],1.7133956386292837,"[4,24]",1.0124610591900312,"[0,1,2,3,4,5,7,9,11,13,14,17,18,19,20,21,22,24]",Prealgebra 2
10299,What is a Percent?,22,body2MultiAnswerProblem,310,61.29032258064516,0.0,0.0,32.25806451612903,[0],16.129032258064516,[2],6.451612903225806,"[0,2]",Prealgebra 2
10299,What is a Percent?,22,body30HundredsChart,15430,47.76409591704472,8.165910563836682,0.2592352559948153,10.563836681788723,"[9,23,25,26,27,28,29]",7.258587167854828,"[9,25,26,27,28,29]",4.342190537913156,"[15,23,25,26,27,28,29]",Prealgebra 2
10299,What is a Percent?,22,body4MultiAnswerProblem,250,48.0,20.0,0.0,20.0,[1],12.0,[2],8.0,[0],Prealgebra 2
10299,What is a Percent?,22,body7MultiAnswerProblem,8250,24.484848484848484,0.4848484848484848,0.0,8.484848484848484,"[0,2]",5.090909090909091,"[0,2,3,4]",2.787878787878788,"[0,2,3]",Prealgebra 2
10299,What is a Percent?,22,body9MultiAnswerProblem,10290,28.279883381924197,0.9718172983479106,0.097181729834791,12.536443148688049,"[1,3]",2.0408163265306123,[3],1.84645286686103,"[1,3,4]",Prealgebra 2
10312,Percent of a Number,13,body10MathjaxBlank,9340,23.447537473233403,10.171306209850108,0.5353319057815846,2.78372591006424,"[""21"",""19""]",2.569593147751606,"[""40.4"",""39.6""]",2.462526766595289,"[""20.4"",""39.6""]",Prealgebra 2
10312,Percent of a Number,13,body13ShortAnswerProblem,10760,33.45724907063197,13.28996282527881,0.0,2.2304832713754648,"""28.56""",1.7657992565055762,"""42""",1.6728624535315986,"""5.04""",Prealgebra 2
10312,Percent of a Number,13,body13ShortAnswerProblemtrigger0body5MultiAnswerProblem,4810,99.7920997920998,0.0,0.2079002079002079,68.60706860706861,[0],31.185031185031185,[1],0.0,,Prealgebra 2
10312,Percent of a Number,13,body14MultiAnswerProblem,890,6.741573033707865,0.0,0.0,3.3707865168539324,[0],3.3707865168539324,[2],0.0,,Prealgebra 2
10312,Percent of a Number,13,body15MultiAnswerProblem,1890,38.62433862433863,0.0,1.058201058201058,26.455026455026456,[1],6.878306878306878,[2],5.291005291005291,[0],Prealgebra 2
10312,Percent of a Number,13,body16MathjaxBlank,1990,34.67336683417086,39.19597989949749,0.0,3.5175879396984926,"[""0.2"",""2.4""]",3.5175879396984926,"[""6"",""0.24""]",2.0100502512562812,"[""24/5"",""24/1""]",Prealgebra 2
10312,Percent of a Number,13,body17ShortAnswerProblem,1710,37.42690058479532,27.485380116959064,0.0,4.678362573099415,"""4.66""",2.9239766081871346,"""4.54""",2.3391812865497075,"""4.66%""",Prealgebra 2
10312,Percent of a Number,13,body19ShortAnswerProblem,12280,45.60260586319218,8.631921824104234,0.1628664495114006,5.293159609120521,"""30""",5.2117263843648205,"""3""",3.908794788273616,"""270""",Prealgebra 2
10312,Percent of a Number,13,body1ShortAnswerProblem,10610,30.442978322337417,5.183788878416588,0.0,5.372290292177191,"""3""",3.4872761545711595,"""20""",2.827521206409048,"""1/3""",Prealgebra 2
10312,Percent of a Number,13,body20body2ShortAnswerProblem,1560,41.02564102564103,27.56410256410257,0.0,4.487179487179487,"""0.03""",3.2051282051282053,"""3/10""",2.5641025641025643,"""2""",Prealgebra 2
10312,Percent of a Number,13,body21ShortAnswerProblem,1470,38.095238095238095,27.89115646258503,0.0,3.401360544217687,"""3000""",2.7210884353741496,"""3""",2.7210884353741496,"""270""",Prealgebra 2
10312,Percent of a Number,13,body23ShortAnswerProblem,8400,24.047619047619047,7.619047619047619,0.119047619047619,5.119047619047619,"""15""",3.8095238095238098,"""9""",2.5,"""48""",Prealgebra 2
10312,Percent of a Number,13,body24MathjaxBlank,810,35.80246913580247,37.03703703703704,0.0,6.172839506172839,"[""3""]",4.938271604938271,"[""9""]",4.938271604938271,"[""94""]",Prealgebra 2
10312,Percent of a Number,13,body25ShortAnswerProblem,9960,34.738955823293175,13.55421686746988,0.0,3.815261044176707,"""19.8""",1.2048192771084338,"""22""",1.2048192771084338,"""5""",Prealgebra 2
10312,Percent of a Number,13,body26ShortAnswerProblem,3360,62.5,35.416666666666664,0.0,4.464285714285714,"""3/5""",3.5714285714285716,"""60/100""",3.2738095238095237,"""55""",Prealgebra 2
10312,Percent of a Number,13,body27MathjaxBlank,1160,13.79310344827586,55.172413793103445,0.0,4.310344827586207,"[""33""]",1.7241379310344829,"[""1""]",1.7241379310344829,"[""3/5""]",Prealgebra 2
10312,Percent of a Number,13,body29ShortAnswerProblem,8230,23.815309842041312,3.280680437424058,0.1215066828675577,4.6172539489671935,"""0.2""",2.3086269744835968,"""2""",2.187120291616039,"""10""",Prealgebra 2
10312,Percent of a Number,13,body2ShortAnswerProblem,500,18.0,4.0,0.0,6.0,"""2/10""",4.0,"""20/1""",2.0,"""1""",Prealgebra 2
10312,Percent of a Number,13,body30MathjaxBlank,7410,20.10796221322537,4.183535762483131,0.2699055330634278,4.993252361673414,"[""20""]",1.7543859649122806,"["".5""]",1.6194331983805668,"[""1/""]",Prealgebra 2
10312,Percent of a Number,13,body31MathjaxBlank,5900,3.8983050847457625,4.067796610169491,0.6779661016949152,1.0169491525423728,"[""5"",""5""]",0.5084745762711864,"[""5"",""0.""]",0.5084745762711864,"[""5"",""50""]",Prealgebra 2
10312,Percent of a Number,13,body32MathjaxBlank,5020,34.26294820717131,22.11155378486056,0.199203187250996,5.577689243027889,"[""x"",""y"",""y"",""x""]",2.589641434262948,"[""x"",""x"",""y"",""y""]",2.191235059760956,"[""m"",""y"",""f"",""h""]",Prealgebra 2
10312,Percent of a Number,13,body33ShortAnswerProblem,3840,16.145833333333332,4.947916666666667,0.0,2.34375,"""64""",1.0416666666666667,"""16""",1.0416666666666667,"""11""",Prealgebra 2
10312,Percent of a Number,13,body34ShortAnswerProblem,3260,17.791411042944784,7.361963190184049,0.0,1.8404907975460123,"""64""",0.9202453987730062,"""18.5""",0.9202453987730062,"""9""",Prealgebra 2
10312,Percent of a Number,13,body35MathjaxBlank,3740,30.481283422459892,31.28342245989305,0.0,6.951871657754011,"[""x"",""y"",""y"",""x""]",4.010695187165775,"[""x"",""y"",""y"",""x""]",2.9411764705882355,"[""x"",""x"",""y"",""y""]",Prealgebra 2
10312,Percent of a Number,13,body3ShortAnswerProblem,650,46.15384615384615,18.46153846153846,0.0,6.153846153846154,"""9""",4.615384615384615,"""534 """,4.615384615384615,"""60/5""",Prealgebra 2
10312,Percent of a Number,13,body5ShortAnswerProblem,8010,19.850187265917604,5.867665418227216,0.0,4.119850187265918,"""3.5""",1.7478152309612984,"""7/100""",1.49812734082397,"""3.5%""",Prealgebra 2
10312,Percent of a Number,13,body6ShortAnswerProblem,7560,14.947089947089948,0.925925925925926,0.0,5.423280423280423,"""1""",3.1746031746031744,"""0.5""",1.851851851851852,"""200""",Prealgebra 2
10312,Percent of a Number,13,body8ShortAnswerProblem,5940,3.5353535353535355,1.1784511784511784,0.0,0.5050505050505051,"""8""",0.5050505050505051,"""2""",0.5050505050505051,"""100""",Prealgebra 2
